"label","title","author","journal","issn","volume","number","pages","year","publisher","doi","abstract"
"Uller2006873","Immune challenge reduces reproductive output and growth in a lizard","Uller, T. and Isaksson, C. and Olsson, M.","Functional Ecology","02698463","20","5","873-879","2006",NA,"10.1111/j.1365-2435.2006.01163.x","1. A fundamental assumption in evolutionary immunology is that the immune system is costly to develop, maintain or activate. 2. Two plausible costs of activation of the immune system are decreased resources for growth and reproductive investment. However, few studies have estimated direct effects of an immune challenge, in particular in ectotherm vertebrates. We studied the consequences of an immune challenge in reproductive female dragons, Ctenophorus fordi, and in their offspring by exposing lizards to bacterial lipopolysaccharides (LPS). 3. The immune challenge led to decreased reproductive investment in terms of egg mass, but with no effect on probability of future reproduction. 4. Maternal immune challenge did not influence the response of their offspring to the same challenge. However, juveniles that were induced to mount an immune response had a higher thermal preference and showed reduced growth, but the magnitude of the growth effect was dependent on the date of oviposition, indicating maternal effects on offspring immunity. 5. Our results suggest that costs of immune activation may be important in shaping growth and reproductive strategies in ectotherms.  2006 The Authors."
"Uller20062131","No seasonal sex-ratio shift despite sex-specific fitness returns of hatching date in a lizard with genotypic sex determination","Uller, T. and Olsson, M.","Evolution","00143820","60","10","2131-2136","2006",NA,"10.1554/06-241.1","Sex allocation theory predicts that mothers should adjust their sex-specific reproductive investment in relation to the predicted fitness returns from sons versus daughters. Sex allocation theory has proved to be successful in some invertebrate taxa but data on vertebrates often fail to show the predicted shift in sex ratio or sex-specific resource investment. This is likely to be partly explained by simplistic assumptions of vertebrate life-history and mechanistic constraints, but also because the fundamental assumption of sex-specific fitness return on investment is rarely supported by empirical data. In short-lived species, the time of hatching or parturition can have a strong impact on the age and size at maturity. Thus, if selection favors adult sexual-size dimorphism, females can maximize their fitness by adjusting offspring sex over the reproductive season. We show that in mallee dragons, Ctenophorus fordi, date of hatching is positively related to female reproductive output but has little, if any, effect on male reproductive success, suggesting selection for a seasonal shift in offspring sex ratio. We used a combination of field and laboratory data collected over two years to test if female dragons adjust their sex allocation over the season to ensure an adaptive match between time of hatching and offspring sex. Contrary to our predictions, we found no effect of laying date on sex ratio, nor did we find any evidence for within-female between-clutch sex-ratio adjustment. Furthermore, there was no differential resource investment into male and female offspring within or between clutches and sex ratios did not correlate with female condition or any partner traits. Consequently, despite evidence for selection for a seasonal sex-ratio shift, female mallee dragons do not seem to exercise any control over sex determination. The results are discussed in relation to potential constraints on sex-ratio adjustment, alternative selection pressures, and the evolution of temperature-dependent sex determination.  2006 The Society for the Study of Evolution. All rights reserved."
"Badyaev200614406","Sex-biased maternal effects reduce ectoparasite-induced mortality in a passerine bird","Badyaev, A.V. and Hamstra, T.L. and Oh, K.P. and Seaman, D.A.A.","Proceedings of the National Academy of Sciences of the United States of America","00278424","103","39","14406-14411","2006",NA,"10.1073/pnas.0602452103","Duration of developmental stages in animals evolves under contrasting selection pressures of age-specific mortality and growth requirements. When relative importance of these effects varies across environments, evolution of developmental periods is expected to be slow. In birds, maternal effects on egg-laying order and offspring growth, two proximate determinants of nestling period, should enable rapid adjustment of developmental periods to even widely fluctuating mortality rates. We test this hypothesis in a population of house finches (Carpodacus mexicanus) breeding under two contrasting mortality risks: (i) a nest mite-free condition when selection on offspring survival favors a longer time in the nest; and (ii) a mite infestation when selection favors a shorter nest tenure. Mites affected survival of sons more than daughters, and females breeding under mite infestation laid male eggs last and female eggs first in the clutch, thereby reducing sons' exposure to mites and associated mortality. Strong sex bias in laying order and growth patterns enabled mite-infested offspring to achieve similar fledging size, despite a shorter nest tenure, compared with mite-free conditions. In mite-infested nests, male nestlings hatched at larger sizes, completed growth earlier, and had faster initial growth compared with mite-free nests, whereas mite-infested females grew more slowly but for a longer period of time. A combination of heavily sex-biased laying order and sex differences in growth patterns lowered mite-induced mortality by >10% in both sexes. Thus, strong maternal effects can account for frequently observed, but theoretically unexpected, concordance of mortality risks and growth patterns, especially under fluctuating ecological conditions.  2006 by The National Academy of Sciences of the USA."
"Rubolini20061571","Early maternal, genetic and environmental components of antioxidant protection, morphology and immunity of yellow-legged gull (Larus michahellis) chicks","Rubolini, D. and Romano, M. and Bonisoli Alquati, A. and Saino, N.","Journal of Evolutionary Biology","1010061X","19","5","1571-1584","2006",NA,"10.1111/j.1420-9101.2006.01121.x","Maternal effects mediated by egg quality are important sources of offspring phenotypic variation and can influence the course of evolutionary processes. Mothers allocate to the eggs diverse antioxidants that protect the embryo from oxidative stress. In the yellow-legged gull (Larus michahellis), yolk antioxidant capacity varied markedly among clutches and declined considerably with egg laying date. Analysis of bioptic yolk samples from clutches that were subsequently partially cross-fostered revealed a positive effect of yolk antioxidant capacity on embryonic development and chick growth, but not on immunity and begging behaviour, while controlling for parentage and common environment effects. Chick plasma antioxidant capacity varied according to rearing environment, after statistically partitioning out maternal influences mediated by egg quality. Thus, the results of this study indicate that egg antioxidants are important mediators of maternal effects also in wild bird populations, especially during the critical early post-hatching phase.  2006 The Authors."
"Boncoraglio2006442","Effects of elevated yolk androgens on perinatal begging behavior in yellow-legged gull (Larus michahellis) chicks","Boncoraglio, G. and Rubolini, D. and Romano, M. and Martinelli, R. and Saino, N.","Hormones and Behavior","0018506X","50","3","442-447","2006",NA,"10.1016/j.yhbeh.2006.05.005","Maternal hormones may represent an important pathway by which mothers can adaptively adjust offspring traits and performance to suit the prevailing environmental conditions. Earlier studies of birds have shown that egg androgens of maternal origin may enhance post-natal offspring 'begging' displays, functioning to solicit parental care. Here we investigate the effects of elevated egg androgen levels on the prenatal begging behavior of yellow-legged gull (Larus michahellis) chicks. At laying, we experimentally increased the concentration of yolk testosterone (T) within the natural range of variation, and, shortly before hatching, we compared the structural properties, rate, and loudness of vocalizations of embryos developing in T- and oil-injected (control) eggs. In addition, we compared the early post-hatch begging rate (measured as the pecking rate towards a dummy gull head) in chicks of the two experimental groups. We found that T embryos produced louder embryonic vocalizations than controls, whereas structural properties and the calling rate did not differ between T and control embryos. The post-hatch begging rate was unaffected by T treatment, but strongly decreased with increasing chick body mass, suggesting that intensity of the begging display was sensitive to chick state and may therefore reliably indicate the need of food in this species. Therefore, the results of this study show for the first time that prenatal T exposure modulates the quality of embryonic vocalizations, but are not in accordance with previous findings reporting increased post-hatching begging intensity following increased prenatal exposure to androgens.  2006 Elsevier Inc. All rights reserved."
"Pihlaja20061154","Maternal antibodies in a wild altricial bird: Effects on offspring immunity, growth and survival","Pihlaja, M. and Siitari, H. and Alatalo, R.V.","Journal of Animal Ecology","00218790","75","5","1154-1164","2006",NA,"10.1111/j.1365-2656.2006.01136.x","1. In many animals immunity is not fully developed until adulthood but the young still need protection against various sets of pathogens. Thus, bird nestlings are highly dependent on antibodies received from their mother (in the eggs) during their rapid early growth period. The relationship between maternal immunity and the development of neonates' own immunity has been poorly studied. 2. It has been suggested that immune function plays an important part in mediating resource competition between different life-history traits, e.g. growth and reproduction. Maternal investment of antibodies has potentially permanent effects on offspring phenotype. Thus, the trade-offs between the immune function and other important life-history traits in the offspring will also affect the fitness of the mother. 3. Our supplemental feeding experiment in the magpie Pica pica indicates that the immunoglobulin levels of offspring at hatching are dependent on a mother's nutritional condition. In addition, the amount of maternal immunoglobulins transferred to offspring increases along the laying order within a nest. 4. We also found that at the age of 8-10 days the immunoglobulin production of the offspring has already begun. Furthermore, the maternal immunoglobulin levels of the offspring at hatching were positively related to their immunoglobulin levels on day 10. 5. Maternal immunoglobulins did not significantly affect offspring growth, but there was a negative relationship between self-produced immunoglobulins and growth over the first 10 days, indicating a trade-off between these traits. Nestlings' weight, however, had a positive relationship with immunoglobulin production suggesting that the observed trade-off between growth and immunoglobulin production is due to catch-up growth of nestlings with a low hatching weight. We found that within nests nestlings with higher maternal antibody levels had higher survival rate until day 20, but between nests there was an opposite relationship. 6. Evidently, there is a trade-off, in magpies, between maternal resources, immune function and growth, shaping the evolution of maternal investment in offspring immunity.  2006 The Authors."
"Johnstone2006818","Negotiation over offspring care - How should parents respond to each other's efforts?","Johnstone, R.A. and Hinde, C.A.","Behavioral Ecology","10452249","17","5","818-827","2006",NA,"10.1093/beheco/arl009","Models of biparental care predict that parents should compensate incompletely for any change in their partner's investment. Experimental tests have, however, yielded results that range from full compensation, through a lack of any reaction, to a matching response. Here we suggest a new, adaptive explanation for such variation. Building on an approach developed by McNamara et al., we incorporate uncertainty regarding brood need or value into a game-theoretical model of biparental negotiation over offspring care. We show that when each parent has only partial information, greater effort invested by one serves as a signal to the other of brood need. This favors a matching response by the focal parent's mate, whereas the impact of increased effort on the marginal value of investment favors a compensatory response. The net outcome depends on the relative strength of these two effects. The greater the variation in brood need compared with parental state, the weaker the predicted level of compensation, and the more likely matching is to occur. Our model also suggests why males and females might respond differently to each other. If there is an informational asymmetry between them, then the parent that is better informed about brood need should work harder, respond more strongly to changes in brood need, be less sensitive to changes in the cost of feeding, and compensate more strongly for changes in partner effort. If the asymmetry is very great, the poorly informed parent may even match changes in its partner's work rate.  The Author 2006. Published by Oxford University Press on behalf of the International Society for Behavioral Ecology. All rights reserved."
"Martn.Vivaldi2006467","Relative importance of factors affecting nestling immune response differs between junior and senior nestlings within broods of hoopoes Upupa epops","Martn-Vivaldi, M. and Ruiz-Rodrguez, M. and Mndez, M. and J. Soler, J.","Journal of Avian Biology","09088857","37","5","467-476","2006",NA,"10.1111/j.0908-8857.2006.03660.x","Animals should invest in the immune system to protect themselves from parasites, but the cost of immune responses may limit investment depending on resource availability. In birds' broods, senior and junior chicks in size hierarchies face different rearing conditions, and thus we predicted that factors affecting immune response should differ between them. In asynchronously hatched hoopoe Upupa epops broods, we found that the immune response of senior nestlings was not related to their body condition, but positively related to risk of parasitism (which was indirectly estimated by laying date). This suggests that their immunocompetence is not limited by access to resources, and they can differentially invest in immune response with increasing risk of parasitism. On the other hand, immune response of junior nestlings was related to their body condition, but secondarily also to risk of parasitism. Our results agree with previous studies that have found significant influence of nutritional status and risk of parasitism on nestlings immune defence, but show that the effects of these environmental factors on nestling immunocompetence differ between nestlings occupying high and low rank positions in size hierarchies. The possible influence of maternal effects on the results found is also discussed.  Journal of Avian Biology."
"Fargallo2006772","Hatching order and size-dependent mortality in relation to brood sex ratio composition in chinstrap penguins","Fargallo, J.A. and Polo, V. and De Neve, L. and Martn, J. and Dvila, J.A. and Soler, M.","Behavioral Ecology","10452249","17","5","772-778","2006",NA,"10.1093/beheco/arl007","The differential environmental sensitivity of the sexes has strong implications in the evolutionary history of species as it can alter sexual size dimorphism, population sex ratios, and the faculty of parents to manipulate offspring sex in relation to environmental conditions. We studied sexual differences in hatching patterns and evaluated sex- and size-related mortality in relation to hatching order and brood sex ratios in the chinstrap penguin Pygoscelis antarctica, a moderately size-dimorphic species, with a modal clutch size of 2 eggs. We found that male, second-hatched, and large eggs showed shorter hatching periods than female, first-hatched, and small eggs. We also found a male-biased mortality of nestlings in the colony. However, male mortality patterns differed depending on the brood sex ratio composition. Mortality of male chicks in all-male broods was higher than in mixed broods and higher than female mortality in all-female broods. Contrary, females from mixed brood showed higher mortality than their male nest mates and higher too than females in all-female broods. Second-hatched chicks also suffered from higher mortality than first-hatched chicks. Our results indicate that both the superior competitive capacity and the higher energy demand of the larger sex constitute 2 causal factors explaining patterns of sex-biased mortality. Both factors occur in the same species and in different situations of sibling competition shaped by brood sex ratio composition. This study constitutes a good example of how patterns of sex-related mortality can vary depending on nest environmental circumstances. Furthermore, our study suggests that hatching period can be a mechanism underlying sexual differences in the embryonic period of birds.  The Author 2006. Published by Oxford University Press on behalf of the International Society for Behavioral Ecology. All rights reserved."
"Hegyi2006672","Paternal age and offspring growth: Separating the intrinsic quality of young from rearing effects","Hegyi, G. and Rosivall, B. and Trk, J.","Behavioral Ecology and Sociobiology","03405443","60","5","672-682","2006",NA,"10.1007/s00265-006-0211-3","Younger individuals are often less successful in reproduction than older ones. This might be because of improving breeding skills with age or because the genetic quality of young or early maternal effects on them vary with parental age. However, no attempt has been made to experimentally separate these processes in vertebrates. We conducted a cross-fostering experiment in collared flycatchers (Ficedula albicollis) in three breeding seasons to disentangle origin- and rearing-related effects of paternal age on chick growth, while controlling for date-specific environmental conditions as well as differences in clutch and brood size. The age of the male at the nest of origin, but not that of the rearing male, had a year-dependent effect on nestling body mass and tarsus length. In two seasons, young of subadult males grew slower in the early linear phase of growth than young of adult males. There was no compensatory growth in the final asymptotic phase, so both body mass and tarsus length before fledging reflected the differential early development. In the remaining year, the age of the male at the nest of origin had no significant effect on chick growth. The environment-dependent origin effect we detected was unexplained by incubation times, hatching asynchrony, chick masses at swapping or previously described age-dependent egg quality patterns. Our results therefore suggest a genotype x environment interaction on the relative development of offspring sired by subadult and adult males. Our results also raise the possibility that female birds may gain genetic benefits by mating with older males. Further studies should identify general patterns of male age-dependent female mate choice and offspring quality in different environmental conditions.  Springer-Verlag 2006."
"Levin2006191","Is the early left-right axis like a plant, a kidney, or a neuron? The integration of physiological signals in embryonic asymmetry","Levin, M.","Birth Defects Research Part C - Embryo Today: Reviews","1542975X","78","3","191-223","2006",NA,"10.1002/bdrc.20078","Embryonic morphogenesis occurs along three orthogonal axes. While the patterning of the anterior-posterior and dorsal-ventral axes has been increasingly well-characterized, the left-right (LR) axis has only relatively recently begun to be understood at the molecular level. The mechanisms that ensure invariant LR asymmetry of the heart, viscera, and brain involve fundamental aspects of cell biology, biophysics, and evolutionary biology, and are important not only for basic science but also for the biomedicine of a wide range of birth defects and human genetic syndromes. The LR axis links biomolecular chirality to embryonic development and ultimately to behavior and cognition, revealing feedback loops and conserved functional modules occurring as widely as plants and mammals. This review focuses on the unique and fascinating physiological aspects of LR patterning in a number of vertebrate and invertebrate species, discusses several profound mechanistic analogies between biological regulation in diverse systems (specifically proposing a nonciliary parallel between kidney cells and the LR axis based on subcellular regulation of ion transporter targeting), high-lights the possible importance of early, highly-conserved intracellular events that are magnified to embryo-wide scales, and lays out the most important open questions about the function, evolutionary origin, and conservation of mechanisms underlying embryonic asymmetry.  2006 Wiley-Liss, Inc."
"Sas2006343","Influence of the type of management system on corticosterone transfer into eggs in laying hens","Sas, B. and Domny, G. and Gyimthy, I. and Kovcsn, K.G. and Sth, M.","Acta Veterinaria Hungarica","02366290","54","3","343-352","2006",NA,"10.1556/AVet.54.2006.3.5","The effect of free-range versus cage management system on corticosterone transfer into the eggs was studied in laying hens. Hungarian Yellow laying hens (age: 21 weeks, body weight: 2.0  0.5 kg) were divided into two groups in the spring: Group I, free-range keeping (n = 15 layers, density: &gt; 0.5 bird/m2) in outdoor runs, with continuous access to a commercial layer feed; Group II, hens kept in battery cages (n = 17 layers, density: 2 birds/m2, natural light, continuous access to feed and water). Eggs were collected after a one-week adaptation period on days 2, 7 and 16. Corticosterone (CST) was extracted from homogenised egg samples using an ASE-200 Accelerated Solvent Extractor and then assayed by liquid chromatography linked with tandem mass spectrometry (LC-MS/MS) [Thermo Quest Surveyor high-performance liquid chromatography (HPLC) interfaced via Atmospheric Pressure Chemical Ionisation (APCI) ion source to Finnigan/Thermo Quest LCQ Deca MS/MS] using dexamethasone as internal standard with positive APCI ionisation. CST concentrations of whole eggs laid by free-range hens on days 2, 7 and 16 were 0.370  0.218, 0.259  0.066 and 0.915  0.745 ngg-1, respectively, while those of eggs laid by caged hens were 0.206  0.157, 0.223  0.165 and 0.184  0.110 ngg-1 at the above sampling times. It is concluded that in free-range laying hens the sharp changes of environmental weather conditions significantly increased the corticosterone content of eggs, while the environmentally controlled and closed battery cage management technology resulted in relatively uniform corticosterone concentrations in the whole eggs.  2006 Akadmiai Kiad, Budapest."
"Isaksson2006556","Parental effects on carotenoid-based plumage coloration in nestling great tits, Parus major","Isaksson, C. and Uller, T. and Andersson, S.","Behavioral Ecology and Sociobiology","03405443","60","4","556-562","2006",NA,"10.1007/s00265-006-0200-6","Carotenoid pigments have attracted much interest in behavioural and evolutionary ecology because of their dual function in immune physiology and as color signals. In vertebrates, carotenoids must ultimately be obtained from the diet, and the mechanisms and magnitude of this environmental dependence are central for understanding carotenoid signal functions and evolution. In the present cross-fostering experiment with great tits Parus major, we investigate pre- and postnatal parental effects (egg yolk carotenoids, parental coloration) on nestling size and carotenoid coloration, using HPLC analysis of egg yolk carotenoids, and a reflectance-based measure of 'chroma' that reflects the plumage pigment concentration. Both rearing environment and origin influenced offspring size and plumage chroma. Maternal allocation of carotenoids to eggs had a weak positive effect on nestling plumage chroma, whereas we found no prenatal maternal effects (egg size or yolk carotenoid concentration) on size. Nestling plumage chroma was also significantly predicted by the chroma of the rearing father, but not by the color of the rearing mother or either of the original (genetical) parents. Thus, both prenatal maternal effects and postnatal paternal effects influence the carotenoid-based plumage coloration of nestling great tits. Future studies will reveal if parental effects have long-term consequences for plumage development and associated fitness components.  Springer-Verlag 2006."
"Badyaev20061044","Evolution of sex-biased maternal effects in birds: III. Adjustment of ovulation order can enable sex-specific allocation of hormones, carotenoids, and vitamins","Badyaev, A.V. and Acevedo Seaman, D. and Navara, K.J. and Hill, G.E. and Mendona, M.T.","Journal of Evolutionary Biology","1010061X","19","4","1044-1057","2006",NA,"10.1111/j.1420-9101.2006.01106.x","Overlap in growth of offspring should constrain the opportunity for sex-biased maternal effects, yet sex-specific allocation of maternal resources among simultaneously growing ova is often observed in vertebrates. In birds, such allocation can be accomplished either by temporal clustering of ova that become the same sex, resulting in sex-biased egg-laying order, or by follicle-specific delivery of maternal resources. Two house finch populations at the northern and southern boundaries of the species range have opposite ovulation sequences of male and female eggs, and thus, in the absence of sex differences in ova growth or sex-specific maternal strategies, would be expected to have opposite sex-specific accumulation of maternal products. We found that the populations had strong and similar gradients of steroid distribution in relation to ovulation order, whereas distribution of carotenoids and vitamins correlated with each follicle's accumulation of steroids. In both populations, temporal bias in production of sons and daughters within a clutch enabled strongly sex-specific acquisition of maternal products, and oocytes of the same sex were highly interdependent in their accumulation of steroids. Moreover, in nests where the sex-bias in relation to ovulation order deviated from population-specific patterns, eggs had highly distinct concentrations of steroids, carotenoids and vitamins. These results and previous findings of sex-specific yolk partitioning among oocytes suggest that oocytes that become males and females are temporally or spatially clustered during their ovarian growth. We discuss the implication of these findings for the evolution of sex-specific maternal resource allocation.  2006 The Authors."
"Navara2006392","Yolk androgen deposition as a compensatory strategy","Navara, K.J. and Hill, G.E. and Mendona, M.T.","Behavioral Ecology and Sociobiology","03405443","60","3","392-398","2006",NA,"10.1007/s00265-006-0177-1","The deposition of androgens into the yolks of eggs can have long-lasting effects on the growth and development of young birds. It has been proposed that female birds and reptiles deposit yolk androgens according to the differential allocation hypothesis (DAH), which posits the allocation of more resources to offspring sired by more attractive, higher-quality males. We examined deposition patterns of yolk androgens in relation to mate attractiveness in the house finch Carpodacus mexicanus. Contrary to the predictions of the DAH, female house finches deposited significantly more androgens into eggs sired by less attractive males. We propose that, rather than serving as resources, androgens are used as mediators in a compensatory distribution strategy, enabling females to improve the quality of young produced with less attractive males.  Springer-Verlag 2006."
"Eriksen2006114","Prespawning stress in farmed Atlantic salmon Salmo salar: Maternal cortisol exposure and hyperthermia during embryonic development affect offspring survival, growth and incidence of malformations","Eriksen, M.S. and Bakken, M. and Espmark, . and Braastad, B.O. and Salte, R.","Journal of Fish Biology","00221112","69","1","114-129","2006",NA,"10.1111/j.1095-8649.2006.01071.x","In the current study, mature female Atlantic salmon Salmo salar were given intraperitoneal cortisol implants with the purpose of elucidating potentially detrimental effects on offspring survival, growth, morphological development and also the ability of prenatally stressed offspring to cope with an environmental stressor, typified by a period of mild hyperthermia. Augmented levels of maternal cortisol inflicted a range of progeny somatic parameters, as reflected in increased mortality, reduced fork length and mass, diminished yolk-sac volume, decelerated yolk-sac utilization and, to some extent, enhanced prevalence of morphological malformations. The most pronounced consequences on offspring performance were demonstrated in specimens exposed to both enhanced prenatal cortisol and a subsequent episode of hyperthermia. This accentuates the importance of knowledge on how the maternal endocrinological state during gametogenesis may impinge on offspring characters in farmed Atlantic salmon, and further substantiates the necessity of incorporating maternal effects when evaluating rearing conditions and animal welfare in commercial aquaculture.  2006 The Fisheries Society of the British Isles."
"Groothuis20061304","Multiple pathways of maternal effects in black-headed gull eggs: Constraint and adaptive compensatory adjustment","Groothuis, T.G.G. and Eising, C.M. and Blount, J.D. and Surai, P. and Apanius, V. and Dijkstra, C. and Mller, W.","Journal of Evolutionary Biology","1010061X","19","4","1304-1313","2006",NA,"10.1111/j.1420-9101.2005.01072.x","We investigated in the black-headed gull whether female deposition of antioxidants and immunoglobulins (enhancing early immune function), and testosterone (suppressing immune function and increasing early competitive skills) correlate suggesting that evolution has favoured the mutual adjustment of different pathways for maternal effects. We also took egg mass, the position of the egg in the laying sequence and offspring sex into account, as these affect offspring survival. Yolk antioxidant and immunoglobulin concentrations decreased across the laying order, while yolk testosterone concentrations increased. This may substantially handicap the immune defence of last-hatched chicks. The decrease in antioxidant levels was greater when mothers had a low body mass and when the increase in testosterone concentrations was relatively large. This suggests that female black-headed gulls are constrained in the deposition of antioxidants in last-laid eggs and compensate for this by enhanced testosterone deposition. The latter may be adaptive since it re-allocates the chick's investment from costly immune function to growth and competitive skills, necessary to overcome the consequences of hatching late from an egg of reduced quality.  2006 The Authors."
"Navara2006449","Yolk androgens vary inversely to maternal androgens in Eastern Bluebirds: An experimental study","Navara, K.J. and Siefferman, L.M. and Hill, G.E. and Mendona, M.T.","Functional Ecology","02698463","20","3","449-456","2006",NA,"10.1111/j.1365-2435.2006.01114.x","1. Female birds deposit variable amounts of androgens in the yolks of their eggs, and it has been suggested that yolk androgen deposition is an adaptive mechanism preparing offspring for a competitive environment. Breeding pairs of Eastern Bluebirds (Sialia sialis) Linnaeus were stimulated with an intruder presentation while ovarian follicles were developing. Yolk steroid concentrations in eggs laid by stimulated females were then compared with yolk steroid concentrations in eggs laid by control females. Additionally, blood samples taken from a subset of control and stimulated females were analysed for plasma steroid hormone concentrations. We predicted that female bluebirds experiencing a simulated intrusion would experience increased levels of circulating plasma androgens that would be reflected by larger amounts of androgens deposited in their eggs compared with control females. 2. Patterns of steroid concentrations differed between egg yolks and female plasma. In egg yolks, androstenedione was the predominant hormone, followed by testosterone. Yolks contained minimal amounts of both corticosterone and oestradiol. In female plasma, however, corticosterone was the predominant hormone, while sex steroids were found at low levels. 3. Yolk steroid concentrations did not vary with laying order in either the control or the stimulated group, a result expected due to the relatively synchronous nature of incubation behaviour exhibited by Eastern Bluebird females. 4. Yolk androgen concentrations in eggs laid by stimulated females were significantly higher than in those laid by control females, suggesting that females increase yolk androgen deposition in response to aggressive encounters. 5. Females exposed to an intruder presentation contained significantly lower levels of plasma androgens than control females. We suggest that the deposition of androgens in the eggs serves as an adaptive method of regulating circulating androgen levels in the female, preventing potentially disruptive elevations in circulating androgen concentrations during a particularly sensitive period in the reproductive cycle.  2006 British Ecological Society."
"Rutkowska20061283","Maternal testosterone affects the primary sex ratio and offspring survival in zebra finches","Rutkowska, J. and Cicho, M.","Animal Behaviour","00033472","71","6","1283-1288","2006",NA,"10.1016/j.anbehav.2005.07.025","Female birds have repeatedly been reported to adjust the primary sex ratio of their offspring to environmental, social and physiological cues. However, the mechanism behind sex adjustment remains unknown. It has been suggested that maternal hormones may constitute an important mediator in this mechanism, as androgen levels differ between eggs bearing male and female embryos. To evaluate whether the level of maternal androgens affects the offspring sex ratio, we injected female zebra finches, Taeniopygia guttata, with testosterone during egg laying. The sex ratio of eggs laid after testosterone administration became significantly male biased, compared to eggs laid by control females that received a vehicle injection. However, sons of testosterone-treated females suffered lower hatching success. In contrast, daughters seemed to benefit from elevated androgen level in terms of future survival prospects. The opposite effects on male and female offspring may constitute an important constraint on maternal androgen allocation to the eggs and reduce the benefits of biasing the sex ratio towards males by increasing the testosterone level.  2006 The Association for the Study of Animal Behaviour."
"Barbosa20061636","Female mating decisions: Maximizing fitness?","Barbosa, M. and Magurran, A.E.","Journal of Fish Biology","00221112","68","6","1636-1661","2006",NA,"10.1111/j.1095-8649.2006.01133.x","Sexual selection theory assumes that maximizing fitness is the ultimate goal in every mating decision. Fitness can be maximized directly by increasing the number of offspring (direct benefits) or indirectly by maximizing offspring's lifetime reproductive success (indirect benefits). Whereas there is considerable evidence in the literature for the influence of mating decisions on direct benefits, indirect benefits have been more elusive. Here, we review the variables that influence mating decisions made by females of freshwater fish and how these affect their fitness directly, as well as indirectly. Females enhance their fitness by matching their mating decisions to current environmental conditions, using a wide range of pre- and post-copulation mechanisms that enable them to maximize benefits from mating. Male sexual traits and courtship displays are signals used by females as a way of assessing male quality in terms of both direct and indirect benefits. Polyandry is very common among freshwater fish species, and indirect benefits have been hypothesized as drivers of its predominance. Despite intensive theoretical work, and multiple suggestions of the effects of indirect benefits, to date no study has been able to demonstrate experimentally the existence of indirect benefits in freshwater fish species. Additionally, most studies of direct benefits measure short-term benefits of mating decisions. In both cases, lifetime reproductive success is not assessed. Therefore, we are led to conclude that evidence as to whether female mating decisions result in direct and/or indirect benefits in freshwater fish species is still lacking. These results should be considered in light of the ongoing debate about the significance of indirect benefits in female mating decisions.  2006 The Fisheries Society of the British Isles."
"Leitner2006554","Male song quality, egg size and offspring sex in captive canaries (Serinus canaria)","Leitner, S. and Marshall, R.C. and Leisler, B. and Catchpole, C.K.","Ethology","01791613","112","6","554-563","2006",NA,"10.1111/j.1439-0310.2006.01195.x","Life history theory predicts that females should vary their investment in offspring according to the quality of their mate. In birds, several studies have now shown that females do vary investment according to perceived male quality, by producing larger eggs, investing more in parental care or by manipulating the sex of their offspring. In a captive breeding colony of canaries, we first show that under normal conditions larger eggs in a clutch are more likely to hatch male offspring. In canaries, male song functions in female attraction and females respond more to complex structures in male song called sexy syllables. In a series of experiments, we go on to show first, that females exposed to playback of male song produce larger eggs than those who heard no song. Next, using synthetic songs, we show that females exposed to playback of more attractive songs containing sexy syllables, produced larger eggs than those exposed to simpler songs containing no sexy syllables. However, in a final analysis, we found no evidence from our experiments that females exposed to playback of more attractive songs also produced more male offspring.  2006 Blackwell Verlag."
"Pike20061093","Experimental evidence that corticosterone affects offspring sex ratios in quail","Pike, T.W. and Petrie, M.","Proceedings of the Royal Society B: Biological Sciences","09628452","273","1590","1093-1098","2006","Royal Society","10.1098/rspb.2005.3422","Recent studies have shown that some species of birds have a remarkable degree of control over the sex ratio of offspring they produce. However, the mechanism by which they achieve this feat is unknown. Hormones circulating in the breeding female are particularly sensitive to environmental perturbations, and so could provide a mechanism for her to bias the sex ratio of her offspring in favour of the sex that would derive greatest benefit from the prevailing environmental conditions. Here, we present details of an experiment in which we manipulated levels of testosterone, 17-oestradiol and corticosterone in breeding female Japanese quail (Coturnix coturnix japonica) using Silastic implants and looked for effects on the sex ratio of offspring produced. Offspring sex ratio in this species was significantly correlated with faecal concentrations of the principal avian stress hormone, corticosterone, and artificially elevated levels of corticosterone resulted in significantly female-biased sex ratios at laying. Varying testosterone and 17-oestradiol had no effect on sex ratio alone, and faecal levels of these hormones did not vary in response to corticosterone. Our results suggest that corticosterone may be part of the sex-biasing process in birds.  2006 The Royal Society."
